Fuel_Type,Kilometers_Driven,Transmission_Type,No_of_Owners,Manufactured_By,Car_Model,Car_Produced_Year,Car_Price,Registration_Year,No_of_Seats,Engine_CC,Mileage(kmpl),Location
Petrol,36735,Manual,1,Hyundai,Hyundai Grand i10,2018,6.25,2019,5,1197,18.9,Bangalore
Diesel,79000,Automatic,1,Audi,Audi Q7,2015,26.95,2015,7,2967,12.07,Bangalore
Diesel,120000,Manual,2,Mahindra,Mahindra Scorpio,2010,6.5,2010,8,2179,12.05,Bangalore
Petrol,10000,Automatic,1,Renault,Renault KWID,2022,5.5,2022,5,999,22.0,Bangalore
Diesel,53645,Manual,1,Tata,Tata Nexon,2018,8.25,2018,5,1497,21.5,Bangalore
Petrol,100000,Manual,2,Hyundai,Hyundai Getz,2006,2.2,2006,5,1341,15.3,Bangalore
Petrol,53982,Automatic,1,Maruti,Maruti Celerio,2014,4.28,2014,5,998,26.68,Bangalore
Diesel,110000,Manual,1,Skoda,Skoda Rapid,2014,6.95,2014,5,1498,21.14,Bangalore
Petrol,37741,Manual,2,Ford,Ford Ecosport,2019,9.3,2019,5,1496,15.9,Bangalore
Petrol,17367,Manual,1,Maruti,Maruti Alto 800,2021,4.55,2021,5,796,22.05,Bangalore
Diesel,94000,Manual,1,Hyundai,Hyundai Creta,2017,11.95,2017,5,1582,19.67,Bangalore
Diesel,33700,Automatic,1,Tata,Tata Harrier,2021,21.75,2021,5,1956,14.6,Bangalore
Petrol,54601,Manual,3,Maruti,Maruti Swift,2014,4.42,2014,5,1197,22.38,Bangalore
Diesel,110000,Manual,1,Maruti,Maruti Swift,2018,6.9,2018,5,1248,28.4,Bangalore
Petrol,64000,Manual,2,Maruti,Maruti Celerio,2017,5.0,2017,5,998,23.1,Bangalore
Diesel,40525,Automatic,1,BMW,BMW 3 Series GT,2016,33.95,2016,5,1995,21.76,Bangalore
Diesel,100000,Manual,1,Maruti,Maruti Ciaz,2015,6.5,2015,5,1248,26.21,Bangalore
Petrol,44154,Automatic,2,Honda,Honda Jazz,2016,5.37,2016,5,1199,19.0,Bangalore
Diesel,70000,Manual,1,Renault,Renault Lodgy,2016,7.5,2016,7,1461,19.98,Bangalore
Petrol,79000,Automatic,1,Skoda,Skoda Octavia,2018,17.9,2018,5,1798,15.1,Bangalore
Petrol,68039,Manual,2,Tata,Tata Tiago,2017,4.68,2018,5,1199,23.84,Bangalore
Petrol,60000,Manual,2,Maruti,Maruti Ritz,2014,4.2,2014,5,1197,18.5,Bangalore
Petrol,10000,Manual,1,Hyundai,Hyundai i20,2021,9.2,2021,5,998,20.0,Bangalore
Petrol,49873,Manual,1,Honda,Honda City,2013,5.33,2013,5,1497,16.8,Bangalore
