Fuel_Type,Kilometers_Driven,Transmission_Type,No_of_Owners,Manufactured_By,Car_Model,Car_Produced_Year,Car_Price,Registration_Year,No_of_Seats,Engine_CC,Mileage(kmpl),Location
Petrol,56118,Automatic,1,Toyota,Toyota Glanza,2020,8.43,2020,5,1197,19.56,Chennai
Petrol,93968,Manual,1,Hyundai,Hyundai i10,2012,3.0,2013,5,1197,20.36,Chennai
Petrol,30000,Manual,1,Hyundai,Hyundai Grand i10 Nios,2021,5.6,2021,5,1197,20.7,Chennai
Petrol,41364,Manual,2,Volkswagen,Volkswagen Polo,2020,7.44,2020,5,999,17.74,Chennai
Petrol,108898,Automatic,2,Honda,Honda City,2013,4.19,2013,5,1497,16.8,Chennai
Petrol,3500,Automatic,1,Toyota,Toyota Innova Crysta,2022,26.55,2022,7,2694,8.0,Chennai
Petrol,35589,Manual,1,Kia,Kia Seltos,2020,13.69,2020,5,1497,16.8,Chennai
Petrol,41514,Manual,1,Hyundai,Hyundai i10,2016,3.8,2016,5,1086,19.81,Chennai
Petrol,27925,Manual,1,Renault,Renault Triber,2021,6.61,2021,7,999,20.0,Chennai
Petrol,10000,Automatic,1,Skoda,Skoda Slavia,2022,20.0,2022,5,1498,18.41,Chennai
Petrol,40000,Manual,2,Mahindra,Mahindra KUV 100,2017,3.2,2017,6,1198,18.15,Chennai
Petrol,60000,Manual,2,Hyundai,Hyundai EON,2014,2.0,2014,5,814,21.1,Chennai
Petrol,90000,Manual,5,Hyundai,Hyundai Verna,2008,1.45,2008,5,1599,13.9,Chennai
Petrol,65744,Manual,3,Volkswagen,Volkswagen Polo,2013,3.25,2013,5,1198,16.47,Chennai
Petrol,80000,Automatic,4,Maruti,Maruti A-Star,2011,2.0,2011,5,998,16.98,Chennai
Petrol,30000,Automatic,2,Maruti,Maruti Ertiga,2020,10.25,2020,7,1462,17.99,Chennai
Petrol,20000,Automatic,1,Skoda,Skoda Kushaq,2022,13.0,2022,5,999,17.2,Chennai
Petrol,90000,Manual,3,Volkswagen,Volkswagen Vento,2012,2.32,2012,5,1598,15.8,Chennai
Petrol,18655,Manual,1,Volkswagen,Volkswagen Taigun,2021,16.39,2022,5,1498,17.88,Chennai
Petrol,51578,Manual,1,Tata,Tata Tiago,2020,5.36,2020,5,1199,19.01,Chennai
Diesel,113000,Manual,1,Ford,Ford Figo,2012,2.3,2012,5,1498,25.83,Chennai
Petrol,27861,Manual,1,Renault,Renault KWID,2016,3.57,2016,5,799,25.17,Chennai
Petrol,20419,Manual,1,Maruti,Maruti Ciaz,2020,7.86,2020,5,1462,21.56,Chennai
Petrol,49165,Manual,2,Volkswagen,Volkswagen Vento,2013,4.1,2013,5,1598,16.09,Chennai
Petrol,38309,Manual,2,Honda,Honda WR-V,2018,6.07,2018,5,1199,17.5,Chennai
Petrol,12000,Automatic,1,Toyota,Toyota Urban cruiser,2022,11.5,2022,5,1462,18.76,Chennai
Petrol,27872,Automatic,1,Honda,Honda Jazz,2017,6.84,2017,5,1199,19.0,Chennai
Petrol,14023,Manual,1,Renault,Renault KWID,2022,4.51,2022,5,799,22.25,Chennai
Petrol,30000,Manual,1,Maruti,Maruti Ertiga,2019,9.85,2019,7,1462,19.34,Chennai
Diesel,30000,Manual,1,Tata,Tata Nexon,2021,8.0,2021,5,1497,21.5,Chennai
Diesel,116377,Manual,2,Hyundai,Hyundai Verna,2012,4.5,2012,5,1582,23.9,Chennai
Diesel,13109,Manual,1,Volkswagen,Volkswagen Polo,2021,7.85,2021,5,1199,22.07,Chennai
Diesel,67500,Manual,1,Ford,Ford Aspire,2015,4.15,2015,5,1498,25.83,Chennai
Petrol,84169,Manual,1,Hyundai,Hyundai Santro Xing,2007,1.5,2007,5,0,10.0,Chennai
Diesel,50000,Automatic,2,Audi,Audi A3,2016,15.0,2016,5,1968,20.38,Chennai
Petrol,80000,Manual,3,Ford,Ford Figo,2011,1.7,2011,5,1196,15.6,Chennai
Petrol,14475,Manual,1,Maruti,Maruti Ertiga,2022,10.0,2022,7,1373,16.02,Chennai
Petrol,20000,Automatic,3,Hyundai,Hyundai Grand i10 Nios,2020,5.7,2020,5,1197,20.7,Chennai
Petrol,53631,Automatic,1,Maruti,Maruti Baleno,2018,6.38,2019,5,1197,21.4,Chennai
Petrol,92562,Automatic,1,Ford,Ford Ecosport,2018,6.74,2018,5,1497,14.8,Chennai
Petrol,90000,Manual,3,Maruti,Maruti SX4,2010,2.0,2010,5,1586,15.0,Chennai
Petrol,24690,Manual,1,Maruti,Maruti Alto 800,2021,4.33,2021,5,796,22.05,Chennai
Petrol,15915,Automatic,1,Renault,Renault KWID,2020,5.18,2020,5,999,22.0,Chennai
Diesel,100000,Manual,2,Ford,Ford Figo,2011,1.75,2011,5,1399,20.0,Chennai
Petrol,36390,Manual,1,Renault,Renault Kiger,2021,8.4,2021,5,999,20.5,Chennai
Petrol,9112,Manual,1,Maruti,Maruti Ritz,2012,2.95,2012,5,1197,21.1,Chennai
Petrol,13923,Automatic,1,Ford,Ford Figo,2021,7.4,2021,5,1194,16.0,Chennai
Petrol,58263,Manual,1,Maruti,Maruti Celerio,2017,5.2,2017,5,998,25.24,Chennai
Petrol,20000,Manual,1,Maruti,Maruti Eeco,2021,4.7,2021,7,1196,16.11,Chennai
Diesel,80000,Manual,3,Maruti,Maruti Ritz,2015,2.0,2015,5,1248,23.2,Chennai
Diesel,65991,Manual,0,Maruti,Maruti Swift,2013,3.95,0,6,1248,22.9,Chennai
Diesel,13397,Manual,1,Mahindra,Mahindra KUV 100 NXT,2016,3.5,2016,6,1198,25.32,Chennai
Petrol,57121,Automatic,2,Maruti,Maruti Ciaz,2015,5.5,2015,5,1373,19.12,Chennai
Petrol,70418,Manual,1,Tata,Tata Zest,2015,4.0,2016,5,1193,17.57,Chennai
Petrol,22421,Automatic,0,Honda,Honda Amaze,2019,6.4,0,2,1199,19.0,Chennai
Diesel,83045,Manual,0,Tata,Tata Indica,2009,1.35,0,8,1405,17.0,Chennai
Petrol,86715,Manual,0,Hyundai,Hyundai i10,2008,1.7,0,8,1197,20.36,Chennai
Petrol,77032,Manual,0,Hyundai,Hyundai i10,2008,1.95,0,7,1086,19.81,Chennai
Petrol,21614,Manual,1,Datsun,Datsun RediGO,2019,3.12,2019,5,799,22.7,Chennai
Petrol,35375,Manual,1,Maruti,Maruti Alto 800,2020,3.83,2020,5,796,22.05,Chennai
Diesel,89545,Manual,0,Volkswagen,Volkswagen Vento,2010,3.1,0,8,1598,20.54,Chennai
Petrol,83298,Manual,1,Hyundai,Hyundai i20,2019,5.9,2019,5,1197,18.6,Chennai
Petrol,33250,Automatic,1,Maruti,Maruti Ignis,2022,7.58,2022,5,1197,20.89,Chennai
Petrol,75000,Manual,2,Honda,Honda Jazz,2015,4.8,2015,5,1199,18.2,Chennai
Diesel,87026,Manual,1,Ford,Ford Ecosport,2018,7.94,2018,5,1498,23.0,Chennai
Diesel,33000,Automatic,1,Toyota,Toyota Innova Crysta,2021,28.5,2021,7,2393,12.0,Chennai
Petrol,37294,Manual,2,Honda,Honda City,2020,10.69,2020,5,1498,18.6,Chennai
Petrol,65840,Manual,1,Renault,Renault KWID,2016,3.27,2017,5,799,25.17,Chennai
Diesel,45000,Automatic,2,Isuzu,Isuzu MU-X,2019,19.0,2019,7,2999,13.8,Chennai
Petrol,62865,Manual,1,Honda,Honda Amaze,2015,4.25,2015,5,1199,18.6,Chennai
Diesel,62442,Manual,1,Mahindra,Mahindra KUV 100 NXT,2017,4.35,2017,6,1198,25.32,Chennai
Petrol,154931,Manual,2,Volkswagen,Volkswagen Vento,2014,3.3,2014,5,1598,15.04,Chennai
Petrol,63318,Manual,1,Honda,Honda City,2017,8.0,2017,5,1497,17.4,Chennai
Petrol,47146,Manual,1,Honda,Honda City,2017,7.5,2017,5,1497,17.0,Chennai
Petrol,17797,Automatic,1,Hyundai,Hyundai Grand i10,2016,4.95,2016,5,1197,18.9,Chennai
Petrol,52802,Manual,1,Maruti,Maruti Swift,2015,4.75,2015,5,1197,18.6,Chennai
Diesel,46830,Manual,2,Honda,Honda WR-V,2018,7.0,2018,5,1498,25.5,Chennai
Diesel,34000,Automatic,1,BMW,BMW 3 Series GT,2016,27.0,2016,5,1995,21.76,Chennai
Petrol,70038,Manual,1,Ford,Ford Ecosport,2018,7.85,2018,5,1497,17.0,Chennai
Petrol,15957,Manual,1,Tata,Tata Altroz,2021,7.95,2021,5,1199,18.05,Chennai
Petrol,63860,Manual,2,Honda,Honda Amaze,2014,4.15,2014,5,1199,18.6,Chennai
Petrol,51252,Automatic,1,Maruti,Maruti Swift Dzire,2017,6.6,2017,5,1197,21.21,Chennai
Petrol,56071,Automatic,2,Ford,Ford Ecosport,2015,5.43,2015,5,1499,15.63,Chennai
Diesel,38100,Manual,1,Honda,Honda Jazz,2017,6.5,2017,5,1498,27.3,Chennai
Diesel,87634,Automatic,3,Mahindra,Mahindra XUV500,2017,11.29,2017,7,1997,16.0,Chennai
Petrol,14424,Manual,1,Hyundai,Hyundai i10,2010,2.7,2010,5,1197,20.36,Chennai
Petrol,39542,Automatic,2,Tata,Tata Tigor,2018,5.57,2019,5,1199,20.3,Chennai
Petrol,114507,Manual,2,Hyundai,Hyundai Grand i10,2016,4.41,2016,5,1197,18.9,Chennai
Diesel,67129,Manual,1,Fiat,Fiat Punto Pure,2015,3.4,2015,5,1248,20.3,Chennai
Petrol,35405,Manual,1,Volkswagen,Volkswagen Polo,2021,10.0,2021,5,999,18.24,Chennai
Diesel,62992,Manual,1,Volkswagen,Volkswagen Polo,2010,2.95,2010,5,1199,22.07,Chennai
Petrol,94241,Manual,1,Hyundai,Hyundai Santro Xing,2009,1.65,2009,5,1086,17.92,Chennai
Diesel,101423,Manual,2,Tata,Tata Indica,2013,1.49,2013,5,1396,25.0,Chennai
Petrol,21647,Manual,1,Toyota,Toyota Etios,2013,4.75,2013,5,1496,17.6,Chennai
Petrol,78210,Manual,4,Nissan,Nissan Micra,2010,1.35,2011,5,1198,18.06,Chennai
Petrol,39922,Manual,1,Hyundai,Hyundai Grand i10,2015,4.3,2015,5,1197,18.9,Chennai
Petrol,61372,Manual,2,Maruti,Maruti Wagon R,2017,3.75,2017,5,998,21.79,Chennai
Petrol,60250,Manual,1,Hyundai,Hyundai i10,2008,1.45,2008,5,1086,19.81,Chennai
Petrol,91617,Automatic,3,Hyundai,Hyundai Grand i10,2014,3.98,2014,5,1197,18.9,Chennai
Petrol,23899,Automatic,1,Hyundai,Hyundai i20 N Line,2021,10.76,2021,5,998,20.25,Chennai
Petrol,89000,Manual,1,Maruti,Maruti Swift,2015,4.3,2015,5,1197,21.21,Chennai
Petrol,97445,Automatic,2,Maruti,Maruti Celerio,2017,4.0,2017,5,998,23.1,Chennai
Petrol,69680,Manual,2,Hyundai,Hyundai i10,2012,2.87,2012,5,1197,20.36,Chennai
Petrol,87431,Manual,1,Hyundai,Hyundai i20,2014,4.95,2014,5,1197,18.6,Chennai
Petrol,98204,Manual,1,Hyundai,Hyundai EON,2015,2.98,2015,5,814,21.1,Chennai
Diesel,161471,Manual,1,Honda,Honda Mobilio,2014,4.25,2014,7,1498,24.2,Chennai
Petrol,108338,Manual,2,Honda,Honda City,2012,4.31,2012,5,1497,16.8,Chennai
Petrol,47045,Manual,1,Hyundai,Hyundai i20,2016,5.77,2016,5,1197,18.6,Chennai
Petrol,18079,Automatic,1,Tata,Tata Tigor,2018,6.0,2019,5,1199,20.3,Chennai
Petrol,44985,Manual,1,Hyundai,Hyundai i10,2009,2.25,2009,5,1086,19.81,Chennai
Diesel,84095,Manual,1,Maruti,Maruti Ciaz,2017,6.75,2017,5,1248,26.21,Chennai
Diesel,50520,Manual,1,Jeep,Jeep Compass,2020,14.75,2020,5,1956,17.1,Chennai
Diesel,82124,Manual,3,Mahindra Renault,Mahindra Renault Logan,2010,1.45,2010,5,1461,19.2,Chennai
Petrol,91644,Manual,2,Hyundai,Hyundai Santro Xing,2005,1.0,2005,5,0,17.0,Chennai
Petrol,3228,Automatic,1,Honda,Honda Amaze,2018,7.5,2018,5,1199,18.1,Chennai
Petrol,41516,Manual,1,Tata,Tata Indigo,2010,1.5,2010,5,1193,15.64,Chennai
Diesel,86147,Manual,2,Chevrolet,Chevrolet Beat,2012,1.95,2012,5,936,25.44,Chennai
Petrol,101566,Manual,3,Honda,Honda City,2010,3.64,2010,5,1497,17.0,Chennai
Diesel,73139,Manual,1,Skoda,Skoda Rapid,2018,7.29,2018,5,1498,21.13,Chennai
Diesel,16787,Automatic,1,Honda,Honda Amaze,2019,8.4,2019,5,1498,21.0,Chennai
Petrol,99715,Automatic,2,Skoda,Skoda Rapid,2016,6.8,2016,5,1598,14.3,Chennai
Petrol,44386,Manual,1,Datsun,Datsun GO Plus,2018,4.14,2019,7,1198,19.02,Chennai
Petrol,56200,Manual,1,Volkswagen,Volkswagen Polo,2014,3.8,2014,5,1598,15.26,Chennai
Petrol,17003,Manual,1,Datsun,Datsun GO Plus,2018,4.28,2018,7,1198,19.02,Chennai
Petrol,44632,Automatic,1,Hyundai,Hyundai Grand i10,2014,4.65,2014,5,1197,18.9,Chennai
Petrol,32091,Automatic,1,Hyundai,Hyundai Creta,2018,10.34,2018,5,1591,13.0,Chennai
Petrol,22740,Automatic,2,Renault,Renault Triber,2021,7.72,2021,7,999,18.2,Chennai
Diesel,98000,Automatic,2,Mercedes-Benz,Mercedes-Benz GLE,2016,35.0,2016,5,2143,17.9,Chennai
Petrol,95495,Manual,1,Volkswagen,Volkswagen Ameo,2018,4.5,2018,5,1198,17.0,Chennai
Petrol,122533,Manual,2,Hyundai,Hyundai Verna,2010,2.1,2010,5,1591,17.01,Chennai
Petrol,55320,Manual,1,Maruti,Maruti Swift Dzire,2013,4.1,2013,5,1197,22.41,Chennai
Diesel,68459,Manual,1,Hyundai,Hyundai i20,2012,3.25,2012,5,1396,21.9,Chennai
Petrol,14195,Manual,1,Honda,Honda Amaze,2016,4.5,2016,5,1199,18.6,Chennai
Petrol,67900,Manual,1,Hyundai,Hyundai i20,2012,2.8,2012,5,1197,18.6,Chennai
Petrol,47756,Automatic,1,Maruti,Maruti Wagon R,2017,4.1,2017,5,998,20.51,Chennai
Petrol,42856,Automatic,1,Hyundai,Hyundai Grand i10,2016,5.2,2016,5,1197,18.9,Chennai
Diesel,43000,Manual,1,Volkswagen,Volkswagen Polo,2014,5.6,2014,5,1498,20.14,Chennai
Petrol,27652,Manual,2,Toyota,Toyota Yaris,2019,7.02,2019,5,1496,17.1,Chennai
Petrol,23539,Manual,1,Renault,Renault Triber,2021,6.56,2021,7,999,20.0,Chennai
Petrol,50000,Manual,1,Maruti,Maruti Ciaz,2015,5.25,2015,5,1373,20.73,Chennai
Petrol,18861,Manual,2,Maruti,Maruti Alto K10,2017,3.57,2017,5,998,24.39,Chennai
Petrol,41138,Manual,1,Maruti,Maruti Swift,2017,5.12,2017,5,1197,20.4,Chennai
Petrol,55039,Manual,1,Hyundai,Hyundai i10,2012,2.5,2012,5,1086,19.81,Chennai
Petrol,41361,Manual,2,Hyundai,Hyundai i20,2018,7.0,2018,5,1197,18.6,Chennai
Diesel,81037,Manual,1,Ford,Ford Ecosport,2015,5.35,2015,5,1498,23.0,Chennai
Petrol,28897,Automatic,2,Honda,Honda Jazz,2017,6.41,2018,5,1199,19.0,Chennai
Petrol,46308,Manual,2,Mahindra,Mahindra KUV 100,2016,3.39,2016,6,1198,18.15,Chennai
Petrol,80033,Manual,1,Hyundai,Hyundai Santro Xing,2009,1.7,2009,5,0,10.0,Chennai
Diesel,15000,Automatic,2,Mini,Mini Cooper Countryman,2015,26.5,2015,5,1995,19.19,Chennai
Petrol,100056,Manual,1,Maruti,Maruti Wagon R,2012,3.1,2012,5,1197,20.52,Chennai
Petrol,90062,Manual,1,Hyundai,Hyundai i20,2018,7.25,2018,5,1197,18.6,Chennai
Petrol,80030,Manual,3,Chevrolet,Chevrolet Optra,2005,1.15,2005,5,1599,17.4,Chennai
Diesel,90042,Automatic,1,Mahindra,Mahindra TUV 300,2016,6.45,2016,7,1493,18.49,Chennai
Petrol,78030,Manual,1,Maruti,Maruti Wagon R,2017,4.4,2017,5,1197,20.52,Chennai
Diesel,55000,Automatic,2,BMW,BMW X3,2013,16.5,2013,5,1995,16.09,Chennai
Diesel,100049,Automatic,1,Hyundai,Hyundai Santa Fe,2014,9.75,2014,7,2199,13.01,Chennai
Diesel,138033,Manual,1,Chevrolet,Chevrolet Tavera,2010,5.35,2010,7,2499,14.8,Chennai
Petrol,14126,Manual,1,Datsun,Datsun GO Plus,2018,4.33,2018,7,1198,19.02,Chennai
Petrol,35464,Manual,1,Renault,Renault Duster,2020,10.45,2020,5,1330,16.42,Chennai
Diesel,100036,Manual,2,Mahindra Ssangyong,Mahindra Ssangyong Rexton,2013,5.5,2013,7,2696,12.83,Chennai
Petrol,55161,Manual,3,Hyundai,Hyundai Grand i10,2015,4.11,2016,5,1197,18.9,Chennai
Petrol,33771,Automatic,1,Hyundai,Hyundai Santro,2019,5.18,2019,5,1086,20.3,Chennai
Diesel,75011,Manual,1,Chevrolet,Chevrolet Enjoy,2016,5.25,2016,8,1248,18.2,Chennai
Petrol,41659,Manual,1,Hyundai,Hyundai Verna,2016,6.47,2016,5,1591,17.01,Chennai
Diesel,126055,Automatic,2,Volvo,Volvo S 80,2012,9.25,2012,5,2400,16.0,Chennai
Petrol,19935,Manual,1,Tata,Tata Tigor,2020,6.45,2020,5,1199,20.3,Chennai
Petrol,61126,Manual,1,Datsun,Datsun RediGO,2016,2.53,2016,5,799,22.7,Chennai
Diesel,100043,Manual,2,Mitsubishi,Mitsubishi Pajero,2012,10.25,2012,7,2477,13.5,Chennai
Diesel,70034,Manual,1,Mitsubishi,Mitsubishi Pajero,2013,11.75,2013,7,2477,13.5,Chennai
Diesel,90068,Manual,2,Volkswagen,Volkswagen Polo,2018,6.0,2018,5,1498,20.14,Chennai
Petrol,86694,Manual,1,Hyundai,Hyundai Xcent,2015,4.05,2015,5,1197,19.1,Chennai
Diesel,86000,Automatic,2,Mercedes-Benz,Mercedes-Benz C-Class,2011,10.4,2011,5,2143,15.8,Chennai
Petrol,79399,Manual,1,Maruti,Maruti Ciaz,2015,5.85,2015,5,1373,20.73,Chennai
Diesel,86038,Automatic,1,Audi,Audi A4,2012,11.75,2012,5,1968,16.55,Chennai
Petrol,69863,Manual,1,Maruti,Maruti Wagon R,2015,3.85,2015,5,998,18.9,Chennai
Diesel,2000022,Manual,1,Toyota,Toyota Innova Crysta,2017,17.5,2017,7,2393,13.68,Chennai
Petrol,133727,Manual,1,Hyundai,Hyundai i10,2013,3.1,2013,5,1197,20.36,Chennai
Petrol,85781,Automatic,1,Hyundai,Hyundai Creta,2016,9.16,2016,5,1591,13.0,Chennai
Diesel,8837,Manual,1,Tata,Tata Altroz,2022,8.0,2022,5,1497,23.64,Chennai
Diesel,120057,Manual,2,Toyota,Toyota Corolla Altis,2011,4.75,2011,5,1364,21.43,Chennai
Petrol,48527,Manual,1,Toyota,Toyota Glanza,2019,6.99,2019,5,1197,22.35,Chennai
Diesel,71096,Manual,2,Honda,Honda WR-V,2017,7.14,2017,5,1498,25.5,Chennai
Petrol,22000,Manual,1,Honda,Honda Amaze,2020,7.5,2020,5,1199,18.6,Chennai
Petrol,110054,Manual,1,Hyundai,Hyundai Grand i10 Nios,2020,6.26,2020,5,1197,20.7,Chennai
Petrol,85028,Manual,1,Honda,Honda City,2012,4.65,2012,5,1497,17.4,Chennai
Petrol,10990,Manual,1,Honda,Honda City,2021,12.68,2022,5,1498,18.6,Chennai
Petrol,115484,Manual,2,Hyundai,Hyundai Elantra,2017,8.05,2017,5,1999,14.59,Chennai
Diesel,80062,Manual,2,Skoda,Skoda Yeti,2011,4.75,2011,5,1968,17.67,Chennai
Diesel,80039,Manual,1,Skoda,Skoda Rapid,2012,3.75,2012,5,1598,20.5,Chennai
Petrol,16473,Manual,1,Maruti,Maruti S-Presso,2020,5.1,2020,5,998,21.7,Chennai
Petrol,8000,Automatic,1,BMW,BMW X5,2022,93.5,2022,5,2998,11.24,Chennai
Petrol,53819,Automatic,1,Maruti,Maruti Baleno,2017,6.6,2017,5,1197,21.4,Chennai
Diesel,100060,Manual,2,Mahindra,Mahindra Scorpio,2011,4.95,2011,8,2179,15.4,Chennai
Petrol,93000,Automatic,1,Volkswagen,Volkswagen Vento,2017,7.9,2017,5,1197,18.19,Chennai
Diesel,82000,Manual,1,Maruti,Maruti Ertiga,2013,6.9,2013,7,1248,20.77,Chennai
Diesel,100057,Automatic,1,BMW,BMW 5 Series,2013,14.5,2013,5,1995,18.12,Chennai
Diesel,102497,Manual,1,Hyundai,Hyundai Verna,2018,8.27,2018,5,1582,22.0,Chennai
Petrol,97942,Manual,2,Toyota,Toyota Etios,2011,3.45,2012,5,1496,17.6,Chennai
Petrol,78423,Manual,1,Volkswagen,Volkswagen Polo,2019,6.5,2019,5,999,18.78,Chennai
Petrol,43088,Manual,2,Maruti,Maruti Alto 800,2014,2.44,2014,5,796,22.05,Chennai
Petrol,14103,Manual,1,Renault,Renault Kiger,2021,8.15,2021,5,999,20.5,Chennai
Diesel,74000,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2011,11.0,2011,5,2143,15.8,Chennai
Petrol,41285,Automatic,1,Toyota,Toyota Urban cruiser,2022,11.5,2022,5,1462,18.76,Chennai
Petrol,76554,Manual,3,Ford,Ford Figo,2012,2.1,2012,5,1196,15.6,Chennai
Petrol,25119,Manual,1,Datsun,Datsun GO Plus,2018,3.91,2018,7,1198,19.02,Chennai
Petrol,4977,Manual,1,Volkswagen,Volkswagen Taigun,2022,15.29,2022,5,999,20.08,Chennai
Petrol,10000,Automatic,1,Volvo,Volvo XC40,2023,53.0,2023,5,1969,12.18,Chennai
Petrol,85037,Automatic,3,Honda,Honda New Accord,2004,2.5,2004,5,2997,9.0,Chennai
Petrol,2177,Manual,2,Maruti,Maruti S-Presso,2021,5.49,2021,5,998,21.7,Chennai
Diesel,40511,Manual,1,Ford,Ford Ecosport,2018,8.6,2018,5,1498,21.7,Chennai
Petrol,30400,Manual,1,Hyundai,Hyundai Venue,2021,11.45,2021,5,998,18.0,Chennai
Diesel,75000,Manual,1,Honda,Honda WR-V,2017,7.9,2017,5,1498,25.5,Chennai
Petrol,27600,Automatic,1,Skoda,Skoda Kushaq,2021,16.5,2021,5,999,17.2,Chennai
Diesel,53908,Manual,1,Hyundai,Hyundai Grand i10,2015,4.75,2015,5,1120,24.0,Chennai
Diesel,46000,Automatic,1,Mercedes-Benz,Mercedes-Benz GLE,2017,49.5,2017,5,2143,17.9,Chennai
Petrol,9471,Automatic,1,Tata,Tata Punch,2021,8.29,2021,5,1199,18.8,Chennai
Petrol,12011,Automatic,1,Tata,Tata Tiago,2020,6.48,2020,5,1199,23.84,Chennai
Petrol,85000,Automatic,2,Volkswagen,Volkswagen Vento,2011,3.75,2011,5,1598,14.4,Chennai
Petrol,27370,Automatic,1,Hyundai,Hyundai Creta,2016,9.64,2017,5,1591,13.0,Chennai
Petrol,53098,Manual,2,Hyundai,Hyundai EON,2016,2.88,2017,5,814,21.1,Chennai
Petrol,51680,Manual,1,Datsun,Datsun RediGO,2019,3.4,2019,5,799,22.7,Chennai
Petrol,35821,Automatic,2,Honda,Honda City,2018,9.06,2018,5,1497,18.0,Chennai
Petrol,60000,Automatic,2,Land Rover,Land Rover Range Rover Evoque,2013,33.0,2013,5,1999,12.07,Chennai
Petrol,39323,Automatic,2,Hyundai,Hyundai i20,2018,6.86,2018,5,1197,17.4,Chennai
Petrol,60799,Manual,1,Renault,Renault KWID,2016,3.35,2016,5,799,25.17,Chennai
Diesel,130000,Automatic,2,Mercedes-Benz,Mercedes-Benz C-Class,2014,13.5,2014,5,2143,14.84,Chennai
Petrol,63000,Automatic,1,Toyota,Toyota Camry,2014,18.0,2014,5,2494,19.16,Chennai
Diesel,50000,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2017,49.0,2017,5,2987,17.0,Chennai
Diesel,22600,Automatic,1,BMW,BMW 3 Series Gran Limousine,2021,57.5,2021,5,1995,19.62,Chennai
Petrol,30000,Manual,1,Maruti,Maruti Ciaz,2021,9.0,2021,5,1462,20.65,Chennai
Petrol,58619,Manual,1,Hyundai,Hyundai Verna,2018,9.0,2018,5,1591,17.0,Chennai
Petrol,23300,Manual,1,Ford,Ford Ecosport,2019,8.9,2019,5,1497,17.0,Chennai
Petrol,121032,Manual,3,Hyundai,Hyundai i20,2010,2.8,2010,5,1197,17.0,Chennai
Petrol,91000,Manual,1,Hyundai,Hyundai i10,2010,2.65,2010,5,1197,20.36,Chennai
Diesel,30000,Manual,1,Kia,Kia Seltos,2020,12.0,2020,5,1493,20.8,Chennai
Petrol,82171,Manual,2,Maruti,Maruti Baleno,2019,5.74,2019,5,1197,21.4,Chennai
Cng,18551,Manual,1,Tata,Tata Tiago,2022,7.11,2022,5,1199,26.49,Chennai
Petrol,35000,Automatic,1,Hyundai,Hyundai i20,2020,9.6,2020,5,998,20.28,Chennai
Petrol,50252,Manual,1,Maruti,Maruti Alto 800,2016,2.73,2016,5,796,24.7,Chennai
Petrol,34715,Manual,2,Honda,Honda Amaze,2019,5.93,2019,5,1199,19.5,Chennai
Petrol,30197,Automatic,1,MG,MG Hector,2020,17.25,2020,5,1451,13.96,Chennai
Petrol,79089,Manual,2,Hyundai,Hyundai Creta,2018,8.45,2018,5,1591,13.0,Chennai
Petrol,24035,Manual,2,Nissan,Nissan Sunny,2011,3.0,2011,5,1498,16.95,Chennai
Diesel,39605,Manual,1,Hyundai,Hyundai Grand i10 Nios,2020,7.35,2020,5,1186,26.2,Chennai
Petrol,66992,Automatic,1,Maruti,Maruti Wagon R,2016,4.07,2016,5,998,20.51,Chennai
Diesel,50000,Automatic,1,Mercedes-Benz,Mercedes-Benz GLC,2021,59.0,2021,5,1950,19.0,Chennai
Petrol,29973,Manual,1,Maruti,Maruti Celerio,2017,4.6,2017,5,998,21.63,Chennai
Petrol,49791,Manual,1,Renault,Renault KWID,2018,3.6,2018,5,799,25.17,Chennai
Petrol,52609,Automatic,1,MG,MG Hector,2020,16.5,2020,5,1451,13.96,Chennai
Petrol,70000,Manual,1,Honda,Honda Jazz,2010,3.6,2010,5,1198,16.0,Chennai
Petrol,23000,Manual,1,Honda,Honda WR-V,2018,7.0,2018,5,1199,17.5,Chennai
Petrol,52172,Manual,1,Maruti,Maruti Alto,2010,2.1,2010,5,796,19.7,Chennai
Diesel,29041,Manual,1,Hyundai,Hyundai Creta,2022,18.25,2022,5,1493,14.0,Chennai
Petrol,67022,Automatic,1,Nissan,Nissan Micra,2017,4.85,2017,5,1198,19.34,Chennai
Petrol,9900,Automatic,1,Audi,Audi A8,2021,90.0,2021,5,2995,11.7,Chennai
Diesel,103651,Manual,2,Volkswagen,Volkswagen Ameo,2016,5.13,2016,5,1498,21.66,Chennai
Petrol,49682,Automatic,1,Honda,Honda Amaze,2016,5.2,2017,5,1198,15.5,Chennai
Diesel,31000,Automatic,1,Volvo,Volvo XC60,2018,48.0,2018,5,1984,14.7,Chennai
Petrol,53751,Manual,3,Renault,Renault KWID,2018,3.05,2018,5,799,25.17,Chennai
Petrol,111283,Manual,2,Maruti,Maruti Alto 800,2015,2.38,2015,5,796,22.05,Chennai
Diesel,63000,Manual,2,Ford,Ford Ecosport,2013,5.4,2013,5,1498,22.7,Chennai
Petrol,52509,Manual,1,Datsun,Datsun GO Plus,2016,3.62,2016,7,1198,19.44,Chennai
Diesel,69319,Manual,1,Nissan,Nissan Micra,2017,4.6,2017,5,1461,23.08,Chennai
Petrol,89191,Manual,1,Maruti,Maruti Celerio,2018,4.51,2019,5,998,25.24,Chennai
